scene_id,xml_path,tif_path,remote_xml_uri,remote_tif_uri,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,imaging_time
LuoJia1-01_LR201806057936_20180603171259_HDR_0044,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171259_HDR_0044_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171259_HDR_0044_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171259_HDR_0044_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171259_HDR_0044_gec.tif,75.145939,28.121991,78.769001,31.089453,76.832823,29.515584,2018-6-3T17:12:46.25716
LuoJia1-01_LR201806057936_20180603171300_HDR_0045,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171300_HDR_0045_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171300_HDR_0045_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171300_HDR_0045_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171300_HDR_0045_gec.tif,75.130211,28.183453,78.756269,31.150604,76.818313,29.57677,2018-6-3T17:12:47.25814
LuoJia1-01_LR201806057936_20180603171301_HDR_0046,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171301_HDR_0046_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171301_HDR_0046_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171301_HDR_0046_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171301_HDR_0046_gec.tif,75.114482,28.245527,78.742732,31.211578,76.803631,29.638782,2018-6-3T17:12:48.25911
LuoJia1-01_LR201806057936_20180603171302_HDR_0047,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171302_HDR_0047_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171302_HDR_0047_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171302_HDR_0047_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171302_HDR_0047_gec.tif,75.098469,28.307083,78.729287,31.26881,76.789217,29.701049,2018-6-3T17:12:49.26008
LuoJia1-01_LR201806057936_20180603171303_HDR_0048,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171303_HDR_0048_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171303_HDR_0048_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171303_HDR_0048_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171303_HDR_0048_gec.tif,75.082554,28.368136,78.715468,31.332823,76.773841,29.761998,2018-6-3T17:12:50.26105
LuoJia1-01_LR201806057936_20180603171304_HDR_0049,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171304_HDR_0049_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171304_HDR_0049_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171304_HDR_0049_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171304_HDR_0049_gec.tif,75.067319,28.429145,78.701744,31.389488,76.759676,29.823376,2018-6-3T17:12:51.26203
LuoJia1-01_LR201806057936_20180603171305_HDR_0050,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171305_HDR_0050_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171305_HDR_0050_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171305_HDR_0050_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171305_HDR_0050_gec.tif,75.052323,28.48999,78.688951,31.450944,76.745592,29.884169,2018-6-3T17:12:52.26300
LuoJia1-01_LR201806057936_20180603171306_HDR_0051,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171306_HDR_0051_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171306_HDR_0051_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171306_HDR_0051_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171306_HDR_0051_gec.tif,75.036921,28.550742,78.676459,31.51438,76.732021,29.945218,2018-6-3T17:12:53.26397
LuoJia1-01_LR201806057936_20180603171307_HDR_0052,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171307_HDR_0052_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171307_HDR_0052_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171307_HDR_0052_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171307_HDR_0052_gec.tif,75.020974,28.611285,78.6634,31.580598,76.716991,30.005808,2018-6-3T17:12:54.26494
LuoJia1-01_LR201806057936_20180603171308_HDR_0053,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171308_HDR_0053_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171308_HDR_0053_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171308_HDR_0053_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171308_HDR_0053_gec.tif,75.005117,28.671749,78.649326,31.636553,76.702064,30.066228,2018-6-3T17:12:55.26592
